timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603713092629,710,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,782,0,5,5,https://google.com/search?q=Lenna,710,0,0
1603713092631,716,GoogleSearch,301,Moved Permanently,GoogleTG 1-2,text,true,,782,0,5,5,https://google.com/search?q=Lenna,716,0,0
1603713092631,716,GoogleSearch,301,Moved Permanently,GoogleTG 1-4,text,true,,782,0,5,5,https://google.com/search?q=Lenna,716,0,0
1603713092632,718,GoogleSearch,301,Moved Permanently,GoogleTG 1-3,text,true,,782,0,5,5,https://google.com/search?q=Lenna,718,0,0
1603713093316,706,GoogleSearch,301,Moved Permanently,GoogleTG 1-5,text,true,,786,0,5,5,https://google.com/search?q=Donette,706,0,0
1603713093348,699,GoogleSearch,301,Moved Permanently,GoogleTG 1-2,text,true,,786,0,5,5,https://google.com/search?q=Donette,699,0,0
1603713093349,699,GoogleSearch,301,Moved Permanently,GoogleTG 1-4,text,true,,786,0,5,5,https://google.com/search?q=Donette,699,0,0
1603713093340,711,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,786,0,5,5,https://google.com/search?q=Donette,711,0,0
1603713093351,711,GoogleSearch,301,Moved Permanently,GoogleTG 1-3,text,true,,786,0,5,5,https://google.com/search?q=Donette,711,0,0
1603713094023,708,GoogleSearch,301,Moved Permanently,GoogleTG 1-5,text,true,,784,0,5,5,https://google.com/search?q=Simona,708,0,0
1603713094048,706,GoogleSearch,301,Moved Permanently,GoogleTG 1-2,text,true,,784,0,5,5,https://google.com/search?q=Simona,705,0,0
1603713094049,705,GoogleSearch,301,Moved Permanently,GoogleTG 1-4,text,true,,784,0,5,5,https://google.com/search?q=Simona,704,0,0
1603713094052,703,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,784,0,5,5,https://google.com/search?q=Simona,703,0,0
1603713094063,721,GoogleSearch,301,Moved Permanently,GoogleTG 1-3,text,true,,784,0,5,5,https://google.com/search?q=Simona,721,0,0
1603713094733,721,GoogleSearch,301,Moved Permanently,GoogleTG 1-5,text,true,,784,0,5,5,https://google.com/search?q=Mitsue,721,0,0
1603713094756,751,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,784,0,5,5,https://google.com/search?q=Mitsue,751,0,0
1603713094755,752,GoogleSearch,301,Moved Permanently,GoogleTG 1-4,text,true,,784,0,5,5,https://google.com/search?q=Mitsue,752,0,0
1603713094785,722,GoogleSearch,301,Moved Permanently,GoogleTG 1-3,text,true,,784,0,5,5,https://google.com/search?q=Mitsue,722,0,0
1603713094755,753,GoogleSearch,301,Moved Permanently,GoogleTG 1-2,text,true,,784,0,5,5,https://google.com/search?q=Mitsue,753,0,0
1603713095455,698,GoogleSearch,301,Moved Permanently,GoogleTG 1-5,text,true,,782,0,5,5,https://google.com/search?q=Leota,698,0,0
1603713095508,708,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,782,0,5,5,https://google.com/search?q=Leota,707,0,0
1603713095508,708,GoogleSearch,301,Moved Permanently,GoogleTG 1-3,text,true,,782,0,5,5,https://google.com/search?q=Leota,708,0,0
1603713095509,708,GoogleSearch,301,Moved Permanently,GoogleTG 1-2,text,true,,782,0,5,5,https://google.com/search?q=Leota,708,0,0
1603713095508,712,GoogleSearch,301,Moved Permanently,GoogleTG 1-4,text,true,,782,0,5,5,https://google.com/search?q=Leota,712,0,0
1603713096154,690,GoogleSearch,301,Moved Permanently,GoogleTG 1-5,text,true,,780,0,5,5,https://google.com/search?q=Sage,690,0,0
1603713096217,706,GoogleSearch,301,Moved Permanently,GoogleTG 1-3,text,true,,780,0,5,5,https://google.com/search?q=Sage,706,0,0
1603713096218,707,GoogleSearch,301,Moved Permanently,GoogleTG 1-2,text,true,,780,0,5,5,https://google.com/search?q=Sage,707,0,0
1603713096217,710,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,780,0,5,5,https://google.com/search?q=Sage,710,0,0
1603713096221,706,GoogleSearch,301,Moved Permanently,GoogleTG 1-4,text,true,,780,0,5,5,https://google.com/search?q=Sage,706,0,0
1603713096844,694,GoogleSearch,301,Moved Permanently,GoogleTG 1-5,text,true,,780,0,5,5,https://google.com/search?q=Kris,694,0,0
1603713096926,682,GoogleSearch,301,Moved Permanently,GoogleTG 1-2,text,true,,780,0,5,5,https://google.com/search?q=Kris,682,0,0
1603713096924,690,GoogleSearch,301,Moved Permanently,GoogleTG 1-3,text,true,,780,0,5,5,https://google.com/search?q=Kris,690,0,0
1603713096928,690,GoogleSearch,301,Moved Permanently,GoogleTG 1-4,text,true,,780,0,5,5,https://google.com/search?q=Kris,690,0,0
1603713096928,690,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,780,0,5,5,https://google.com/search?q=Kris,690,0,0
1603713097538,699,GoogleSearch,301,Moved Permanently,GoogleTG 1-5,text,true,,782,0,5,5,https://google.com/search?q=Minna,699,0,0
